Time (s),Predicted SVID Combination
390,"[10, 12, 15, 18, 23, 24, 32]"
391,"[10, 12, 15, 18, 23, 24, 32]"
392,"[10, 12, 15, 18, 23, 24, 32]"
393,"[10, 12, 15, 18, 23, 24, 32]"
394,"[10, 12, 15, 18, 23, 24, 32]"
395,"[10, 12, 15, 18, 23, 24, 32]"
396,"[10, 12, 15, 18, 23, 24, 32]"
397,"[10, 12, 15, 18, 23, 24, 32]"
398,"[10, 12, 15, 18, 23, 24, 32]"
399,"[10, 12, 15, 18, 23, 24, 32]"
400,"[10, 12, 15, 18, 23, 24, 32]"
401,"[10, 12, 15, 18, 23, 24, 32]"
402,"[10, 12, 15, 18, 23, 24, 32]"
403,"[10, 12, 15, 18, 23, 24, 32]"
404,"[10, 12, 15, 18, 23, 24, 32]"
405,"[10, 12, 15, 18, 23, 24, 32]"
406,"[10, 12, 15, 18, 23, 24, 32]"
407,"[10, 12, 15, 18, 23, 24, 32]"
408,"[10, 12, 15, 18, 23, 24, 32]"
409,"[10, 12, 15, 18, 23, 24, 32]"
410,"[10, 12, 15, 18, 23, 24, 32]"
411,"[10, 12, 15, 18, 23, 24, 32]"
412,"[10, 12, 15, 18, 23, 24, 32]"
413,"[10, 12, 15, 18, 23, 24, 32]"
414,"[10, 12, 15, 18, 23, 24, 32]"
415,"[10, 12, 15, 18, 23, 24, 32]"
416,"[10, 12, 15, 18, 23, 24, 32]"
417,"[10, 12, 15, 18, 23, 24, 32]"
418,"[10, 12, 15, 18, 23, 24, 32]"
419,"[10, 12, 15, 18, 23, 24, 32]"
420,"[10, 12, 15, 18, 23, 24, 32]"
421,"[10, 12, 15, 18, 23, 24, 32]"
422,"[10, 12, 15, 18, 23, 24, 32]"
423,"[10, 12, 15, 18, 23, 24, 32]"
424,"[10, 12, 15, 18, 23, 24, 32]"
425,"[10, 12, 15, 18, 23, 24, 32]"
426,"[10, 12, 15, 18, 23, 24, 32]"
427,"[10, 12, 15, 18, 23, 24, 32]"
428,"[10, 12, 15, 18, 23, 24, 32]"
429,"[10, 12, 15, 18, 23, 24, 32]"
430,"[10, 12, 15, 18, 23, 24, 32]"
431,"[10, 12, 15, 18, 23, 24, 32]"
432,"[10, 12, 15, 18, 23, 24, 32]"
433,"[10, 12, 15, 18, 23, 24, 32]"
434,"[10, 12, 15, 18, 23, 24, 32]"
435,"[10, 12, 15, 18, 23, 24, 32]"
436,"[10, 12, 15, 18, 23, 24, 32]"
437,"[10, 12, 15, 18, 23, 24, 32]"
438,"[10, 12, 15, 18, 23, 24, 32]"
439,"[10, 12, 15, 18, 23, 24, 32]"
440,"[10, 12, 15, 18, 23, 24, 32]"
441,"[10, 12, 15, 18, 23, 24, 32]"
442,"[10, 12, 15, 18, 23, 24, 32]"
443,"[10, 12, 15, 18, 23, 24, 32]"
444,"[10, 12, 15, 18, 23, 24, 32]"
445,"[10, 12, 15, 18, 23, 24, 32]"
446,"[10, 12, 15, 18, 23, 24, 32]"
447,"[10, 12, 15, 18, 23, 24, 32]"
448,"[10, 12, 15, 18, 23, 24, 32]"
449,"[10, 12, 15, 18, 23, 24, 32]"
450,"[10, 12, 15, 18, 23, 24, 32]"
451,"[10, 12, 15, 18, 23, 24, 32]"
452,"[10, 12, 15, 18, 23, 24, 32]"
453,"[10, 12, 15, 18, 23, 24, 32]"
454,"[10, 12, 15, 18, 23, 24, 32]"
455,"[10, 12, 15, 18, 23, 24, 32]"
456,"[10, 12, 15, 18, 23, 24, 32]"
457,"[10, 12, 15, 18, 23, 24, 32]"
458,"[10, 12, 15, 18, 23, 24, 32]"
459,"[10, 12, 15, 18, 23, 24, 32]"
460,"[10, 12, 15, 18, 23, 24, 32]"
461,"[10, 12, 15, 18, 23, 24, 32]"
462,"[10, 12, 15, 18, 23, 24, 32]"
463,"[10, 12, 15, 18, 23, 24, 32]"
464,"[10, 12, 15, 18, 23, 24, 32]"
465,"[10, 12, 15, 18, 23, 24, 32]"
466,"[10, 12, 15, 18, 23, 24, 32]"
467,"[10, 12, 15, 18, 23, 24, 32]"
468,"[10, 12, 15, 18, 23, 24, 32]"
469,"[10, 12, 15, 18, 23, 24, 32]"
470,"[10, 12, 15, 18, 23, 24, 32]"
471,"[10, 12, 15, 18, 23, 24, 32]"
472,"[10, 12, 15, 18, 23, 24, 32]"
473,"[10, 12, 15, 18, 23, 24, 32]"
474,"[10, 12, 15, 18, 23, 24, 32]"
475,"[10, 12, 15, 18, 23, 24, 32]"
476,"[10, 12, 15, 18, 23, 24, 32]"
477,"[10, 12, 15, 18, 23, 24, 32]"
478,"[10, 12, 15, 18, 23, 24, 32]"
479,"[10, 12, 15, 18, 23, 24, 32]"
480,"[10, 12, 15, 18, 23, 24, 32]"
481,"[10, 12, 15, 18, 23, 24, 32]"
482,"[10, 12, 15, 18, 23, 24, 32]"
483,"[10, 12, 15, 18, 23, 24, 32]"
484,"[10, 12, 15, 18, 23, 24, 32]"
485,"[10, 12, 15, 18, 23, 24, 32]"
486,"[10, 12, 15, 18, 23, 24, 32]"
487,"[10, 12, 15, 18, 23, 24, 32]"
488,"[10, 12, 15, 18, 23, 24, 32]"
489,"[10, 12, 15, 18, 23, 24, 32]"
490,"[10, 12, 15, 18, 23, 24, 32]"
491,"[10, 12, 15, 18, 23, 24, 32]"
492,"[10, 12, 15, 18, 23, 24, 32]"
493,"[10, 12, 15, 18, 23, 24, 32]"
494,"[10, 12, 15, 18, 23, 24, 32]"
495,"[10, 12, 15, 18, 23, 24, 32]"
496,"[10, 12, 15, 18, 23, 24, 32]"
497,"[10, 12, 15, 18, 23, 24, 32]"
498,"[10, 12, 15, 18, 23, 24, 32]"
499,"[10, 12, 15, 18, 23, 24, 32]"
500,"[10, 12, 15, 18, 23, 24, 32]"
501,"[10, 12, 15, 18, 23, 24, 32]"
502,"[10, 12, 15, 18, 23, 24, 32]"
503,"[10, 12, 15, 18, 23, 24, 32]"
504,"[10, 12, 15, 18, 23, 24, 32]"
505,"[10, 12, 15, 18, 23, 24, 32]"
506,"[10, 12, 15, 18, 23, 24, 32]"
507,"[10, 12, 15, 18, 23, 24, 32]"
508,"[10, 12, 15, 18, 23, 24, 32]"
509,"[10, 12, 15, 18, 23, 24, 32]"
510,"[10, 12, 15, 18, 23, 24, 32]"
511,"[10, 12, 15, 18, 23, 24, 32]"
512,"[10, 12, 15, 18, 23, 24, 32]"
513,"[10, 12, 15, 18, 23, 24, 32]"
514,"[10, 12, 15, 18, 23, 24, 32]"
515,"[10, 12, 15, 18, 23, 24, 32]"
516,"[10, 12, 15, 18, 23, 24, 32]"
517,"[10, 12, 15, 18, 23, 24, 32]"
518,"[10, 12, 15, 18, 23, 24, 32]"
519,"[10, 12, 15, 18, 23, 24, 32]"
520,"[10, 12, 15, 18, 23, 24, 32]"
521,"[10, 12, 15, 18, 23, 24, 32]"
522,"[10, 12, 15, 18, 23, 24, 32]"
523,"[10, 12, 15, 18, 23, 24, 32]"
524,"[10, 12, 15, 18, 23, 24, 32]"
525,"[10, 12, 15, 18, 23, 24, 32]"
526,"[10, 12, 15, 18, 23, 24, 32]"
527,"[10, 12, 15, 18, 23, 24, 32]"
528,"[10, 12, 15, 18, 23, 24, 32]"
529,"[10, 12, 15, 18, 23, 24, 32]"
530,"[10, 12, 15, 18, 23, 24, 32]"
531,"[10, 12, 15, 18, 23, 24, 32]"
532,"[10, 12, 15, 18, 23, 24, 32]"
533,"[10, 12, 15, 18, 23, 24, 32]"
